industry	pcfId	hierarchyId	crossIndustryName	industryName
aerospace-and-defense	10023	1.1.1.4	Identify political and regulatory factors	Identify political and regulatory issues
aerospace-and-defense	10024	1.1.1.5	Assess new technologies	Assess new technology innovations
aerospace-and-defense	10027	1.1.1.8	Identify environmental factors	Identify ecological concerns
aerospace-and-defense	16790	1.1.1.9	Evaluate intellectual property	Identify intellectual property concerns
aerospace-and-defense	10038	1.2.2	Define and evaluate strategic options to achieve the mission	Define and evaluate strategic options to achieve the objectives
aerospace-and-defense	14197	1.2.2.11	Develop lean/continuous improvement strategy	Develop Lean/continuous improvement strategy
aerospace-and-defense	19952	1.2.2.13	Develop innovation strategy	Develop innovation strategy and framework
aerospace-and-defense	10039	1.2.3	Set/Develop long-term enterprise strategy	Select long-term business strategy
aerospace-and-defense	10040	1.2.4	Coordinate and align cross-functional and process strategies	Coordinate and align functional and process strategies
aerospace-and-defense	10042	1.2.6	Develop and set organizational objectives	Develop and set organizational goals
aerospace-and-defense	19953	1.2.6.1	Identify organizational objectives	Identify organizational goals
aerospace-and-defense	19955	1.2.6.3	Monitor performance against objective	Monitor performance against goals
aerospace-and-defense	19958	1.2.7.3	Refine business unit strategies in support of organizational strategy	Refine business unit strategies in support of company strategy
aerospace-and-defense	10016	1.3	Develop and measure strategic initiatives	Execute and measure strategic initiatives
aerospace-and-defense	19995	2.3.1.17	Design products/services	Design products/services prototypes
aerospace-and-defense	16573	3.2.4.1	Establish channel-specific measures and targets	Establish channel-specific metrics and targets
aerospace-and-defense	16500	3.2.4.4	Analyze channel performance	Analyze performance
aerospace-and-defense	16501	3.2.4.5	Develop plan for channel improvements	Develop plan for improvements
aerospace-and-defense	10148	3.3.1	Establish goals, objectives, and measures for products/services by channel/segment	Establish goals, objectives, and metrics for products/services by channel/segment
aerospace-and-defense	16629	3.3.8	Manage product marketing material	Manage product marketing content
aerospace-and-defense	20022	4.0	Manage Supply Chain for Physical Products	Deliver Physical Products
aerospace-and-defense	10277	4.2.1	Provide sourcing governance and perform category management	Develop sourcing strategies
aerospace-and-defense	10283	4.2.1.3	Establish materials management contingency plans	Develop inventory strategy
aerospace-and-defense	10294	4.2.5.3	Solicit supplier quotes	Solicit/Track vendor quotes
aerospace-and-defense	10297	4.2.5.6	Reconcile purchase orders	Record receipt of goods
aerospace-and-defense	10298	4.2.5.7	Research/Resolve order exceptions	Research/Resolve exceptions
aerospace-and-defense	10300	4.2.7.2	Prepare/Analyze procurement and supplier performance	Prepare/Analyze procurement and vendor performance
aerospace-and-defense	10315	4.3.5.5	Plan for preventive maintenance	Schedule preventive (planned) maintenance (preventive maintenance orders)
aerospace-and-defense	10316	4.3.5.6	Request unplanned maintenance	Schedule requested (unplanned) maintenance (work order cycle)
aerospace-and-defense	10304	4.3.7	Produce/Assemble product	Produce product
aerospace-and-defense	12708	4.4.2.5	Determine quality of controlled part	Control quality of returned parts
aerospace-and-defense	20109	4.4.2.6	Manage disposition of returned products	Salvage or repair returned products
aerospace-and-defense	10353	4.4.3.1	Manage and track inventory deployment	Track inventory deployment
aerospace-and-defense	12127	5.2.3	Enable service delivery resources	Provide MRO related training
aerospace-and-defense	12128	5.2.3.1	Develop service delivery training plan	Develop MRO training plan
aerospace-and-defense	10378	6.1	Develop customer service strategy	Develop customer care/customer service strategy
aerospace-and-defense	20089	6.1.7	Define warranty claims	Define warranty offering
aerospace-and-defense	20102	6.3.2.5	Manage pre-authorizations	Manage preauthorizations
aerospace-and-defense	17043	7.1	Develop and manage human resources planning, policies, and strategies	Develop and manage human resources (HR) planning, policies, and strategies
aerospace-and-defense	10423	7.1.2.1	Perform workforce planning	Gather skill requirements according to corporate strategy and market environment
aerospace-and-defense	10424	7.1.2.2	Perform operational workforce planning	Plan employee resourcing requirements per business unit/organization
aerospace-and-defense	10425	7.1.2.3	Develop compensation strategy	Develop compensation plan
aerospace-and-defense	10210	7.1.2.3.1	Establish incentive strategy	Establish incentive plan
aerospace-and-defense	10427	7.1.2.6	Develop diversity, equity, and inclusion plan	Develop employee diversity plan
aerospace-and-defense	11622	7.1.2.7	Design talent development program	Develop training program
aerospace-and-defense	11623	7.1.2.8	Design talent acquisition program	Develop recruitment program
aerospace-and-defense	20599	7.3	Manage employee onboarding, training, and development	Manage employee on boarding, development, and training
aerospace-and-defense	10474	7.3.1.1	Create/maintain employee onboarding program	Create/maintain employee on-boarding program
aerospace-and-defense	11243	7.3.1.2	Evaluate the effectiveness of the employee onboarding program	Evaluate the effectiveness of the employee on-boarding program
aerospace-and-defense	17050	7.3.1.3	Execute onboarding program	Execute on-boarding program
aerospace-and-defense	10472	7.3.3	Manage employee career development	Manage employee development
aerospace-and-defense	16940	7.3.4.2	Define employee competencies and skills	Define employee competencies
aerospace-and-defense	10491	7.3.4.3	Align learning programs with competencies and skills	Align learning programs with competencies
aerospace-and-defense	10499	7.5.1.2	Develop benefits and rewards plan	Develop benefits and reward plan
aerospace-and-defense	10500	7.5.1.3	Perform competitive analysis of benefits and rewards	Perform competitive analysis of benefit and rewards
aerospace-and-defense	10526	7.7.5	Develop and manage employee measures	Develop and manage employee metrics
aerospace-and-defense	20620	8.1.3.3	Determine IT performance indicators	Determine  IT performance indicators
aerospace-and-defense	20644	8.1.6.3	Understand IT customer environment	Understand  IT customer environment
aerospace-and-defense	20663	8.2.2.3	Evaluate proposed IT investment projects	Evaluate  proposed IT investment projects
aerospace-and-defense	20675	8.2.4.1	Establish IT service management strategy and goals	Establish  IT service management strategy and goals
aerospace-and-defense	20676	8.2.4.2	Identify IT service operating and process requirements	Identify  IT service operating and process requirements
aerospace-and-defense	20690	8.2.5.8	Report IT service and project performance	Report  IT service and project performance
aerospace-and-defense	20705	8.2.7.7	Develop and plan IT investment projects	Develop and plan  IT investment projects
aerospace-and-defense	20714	8.3.1.9	Evaluate IT-related risks resiliency	Evaluate  IT-related risks resiliency
aerospace-and-defense	20754	8.3.7.5	Provide IT resilience training	Provide  IT resilience training
aerospace-and-defense	20774	8.4.2.4	Establish data ownership and stewardship responsibilities	Establish  data ownership and stewardship responsibilities
aerospace-and-defense	20779	8.4.4	Manage business information	Manage business information content
aerospace-and-defense	10747	9.3.1	Manage financial policies and procedures	Manage policies and procedures
aerospace-and-defense	10957	10.1.1.3	Determine build, buy, or lease decision	Determine build or buy decision
aerospace-and-defense	19209	10.2.1	Manage capital program for assets	Manage capital program for productive assets
aerospace-and-defense	19238	10.3	Maintain assets	Maintain productive assets
aerospace-and-defense	19248	10.3.2.3	Undertake quality control	Undertake maintenance quality control
aerospace-and-defense	16462	11.1.3.7	Report on risk activities	Report on function risk activities
aerospace-and-defense	11203	11.3.3	Identify/dedicate resources	Identify/Dedicate resources
aerospace-and-defense	11120	13.2.3.1.4	Create business case	Create business case and obtain funding
aerospace-and-defense	11147	13.4.1.10	Assess cultural context	Assess cultural issues
aerospace-and-defense	11157	13.4.2.7	Establish change adoption measures	Establish change adoption metrics
aerospace-and-defense	11075	13.6.1.1	Define enterprise measurement models	Create enterprise measurement systems model
aerospace-and-defense	11085	13.6.2.3	Conduct internal and external benchmarking	Conduct internal process and external competitive benchmarking
aerospace-and-defense	20147	13.6.3	Evaluate performance	Evaluate process performance
aerospace-and-defense	10270	13.6.3.1	Establish performance indicators (measures)	Establish appropriate performance indicators (metrics)
aerospace-and-defense	10274	13.6.3.6	Analyze performance	Analyze performance against benchmark data
aerospace-and-defense	10275	13.6.3.7	Prepare performance reports	Prepare reports
aerospace-and-defense	11181	13.7.2	Develop EHS program	Develop and execute functional EHS program
aerospace-and-defense	11195	13.7.4.5	Provide EHS support	Provide employees with EHS support
aerospace-and-defense	20959	13.8	Develop, manage, and deliver analytics	Develop, Manage, and Deliver Analytics
aerospace-and-defense	20963	13.8.4	Report on analysis	Report on data
airline	10023	1.1.1.4	Identify political and regulatory factors	Identify political and regulatory issues
airline	10024	1.1.1.5	Assess new technologies	Assess new technology innovations
airline	10027	1.1.1.8	Identify environmental factors	Identify ecological concerns
airline	16790	1.1.1.9	Evaluate intellectual property	Identify intellectual property concerns
airline	10038	1.2.2	Define and evaluate strategic options to achieve the mission	Define and evaluate strategic options to achieve the objectives
airline	19952	1.2.2.13	Develop innovation strategy	Develop innovation strategy and framework
airline	10039	1.2.3	Set/Develop long-term enterprise strategy	Select long-term business strategy
airline	10040	1.2.4	Coordinate and align cross-functional and process strategies	Coordinate and align functional and process strategies
airline	10042	1.2.6	Develop and set organizational objectives	Develop and set organizational goals
airline	19953	1.2.6.1	Identify organizational objectives	Identify organizational goals
airline	19955	1.2.6.3	Monitor performance against objective	Monitor performance against goals
airline	19958	1.2.7.3	Refine business unit strategies in support of organizational strategy	Refine business unit strategies in support of company strategy
airline	10016	1.3	Develop and measure strategic initiatives	Execute and measure strategic initiatives
airline	10114	3.1.1.1.1	Understand consumer needs and historical behaviors	Understand consumer needs and predict customer purchasing behavior
airline	16573	3.2.4.1	Establish channel-specific measures and targets	Establish channel-specific metrics and targets
airline	16500	3.2.4.4	Analyze channel performance	Analyze performance
airline	16501	3.2.4.5	Develop plan for channel improvements	Develop plan for improvements
airline	10148	3.3.1	Establish goals, objectives, and measures for products/services by channel/segment	Establish goals, objectives, and metrics for products/services by channel/segment
airline	16629	3.3.8	Manage product marketing material	Manage product marketing content
airline	10200	3.5.4.8	Handle sales order inquiries including post-order fulfillment transactions	Handle order inquiries including post-order fulfillment transactions
airline	20022	4.0	Manage Supply Chain for Physical Products	Deliver Physical Products
airline	10222	4.1.2	Manage demand for products	Manage demand for products and services
airline	10285	4.2.1.5	Analyze organization’s spend profile	Analyze airline organization's sourcing spend profile
airline	10294	4.2.4.3	Solicit supplier quotes	Solicit/Track vendor quotes
airline	10297	4.2.4.6	Reconcile purchase orders	Record receipt of goods
airline	10298	4.2.4.7	Research/Resolve order exceptions	Research/Resolve exceptions
airline	10300	4.2.5.2	Prepare/Analyze procurement and supplier performance	Prepare/Analyze procurement and vendor performance
airline	10315	4.3.1.5	Plan for preventive maintenance	Schedule preventive (planned) maintenance (preventive maintenance orders)
airline	10316	4.3.1.6	Request unplanned maintenance	Schedule requested (unplanned) maintenance (work order cycle)
airline	12708	4.4.2.5	Determine quality of controlled part	Control quality of returned parts
airline	20109	4.4.2.6	Manage disposition of returned products	Salvage or repair returned products
airline	10353	4.4.3.1	Manage and track inventory deployment	Track inventory deployment
airline	12127	5.5.3	Enable service delivery resources	Enable service-delivery resources
airline	10378	6.1	Develop customer service strategy	Develop customer care/customer service strategy
airline	20089	6.1.6	Define warranty claims	Define warranty offering
airline	17043	7.1	Develop and manage human resources planning, policies, and strategies	Develop and manage human resources (HR) planning, policies, and strategies
airline	10423	7.1.2.1	Perform workforce planning	Gather skill requirements according to corporate strategy and market environment
airline	10424	7.1.2.2	Perform operational workforce planning	Plan employee resourcing requirements per business unit/organization
airline	10425	7.1.2.3	Develop compensation strategy	Develop compensation plan
airline	10210	7.1.2.3.1	Establish incentive strategy	Establish incentive plan
airline	10427	7.1.2.6	Develop diversity, equity, and inclusion plan	Develop employee diversity plan
airline	11622	7.1.2.7	Design talent development program	Develop training program
airline	11623	7.1.2.8	Design talent acquisition program	Develop recruitment program
airline	20599	7.3	Manage employee onboarding, training, and development	Manage employee on-boarding, development, and training
airline	10474	7.3.1.1	Create/maintain employee onboarding program	Create/maintain employee on-boarding program
airline	11243	7.3.1.2	Evaluate the effectiveness of the employee onboarding program	Evaluate the effectiveness of the employee on-boarding program
airline	17050	7.3.1.3	Execute onboarding program	Execute on-boarding program
airline	10472	7.3.3	Manage employee career development	Manage employee development
airline	16940	7.3.4.2	Define employee competencies and skills	Define employee competencies
airline	10491	7.3.4.3	Align learning programs with competencies and skills	Align learning programs with competencies
airline	10526	7.7.5	Develop and manage employee measures	Develop and manage employee metrics
airline	20620	8.1.3.3	Determine IT performance indicators	Determine  IT performance indicators
airline	20644	8.1.6.3	Understand IT customer environment	Understand  IT customer environment
airline	20663	8.2.2.3	Evaluate proposed IT investment projects	Evaluate  proposed IT investment projects
airline	20675	8.2.4.1	Establish IT service management strategy and goals	Establish  IT service management strategy and goals
airline	20676	8.2.4.2	Identify IT service operating and process requirements	Identify  IT service operating and process requirements
airline	20690	8.2.5.8	Report IT service and project performance	Report  IT service and project performance
airline	20705	8.2.7.7	Develop and plan IT investment projects	Develop and plan  IT investment projects
airline	20714	8.3.1.9	Evaluate IT-related risks resiliency	Evaluate  IT-related risks resiliency
airline	20754	8.3.7.5	Provide IT resilience training	Provide  IT resilience training
airline	20774	8.4.2.4	Establish data ownership and stewardship responsibilities	Establish  data ownership and stewardship responsibilities
airline	20779	8.4.4	Manage business information	Manage business information content
airline	10747	9.3.1	Manage financial policies and procedures	Manage policies and procedures
airline	10957	10.1.1.3	Determine build, buy, or lease decision	Determine build or buy decision
airline	19209	10.3.1	Manage capital program for assets	Manage capital program for productive assets
airline	19238	10.4	Maintain assets	Maintain productive assets
airline	19246	10.4.3.1	Schedule maintenance work	Schedule work
airline	19248	10.4.3.3	Undertake quality control	Undertake asset quality control
airline	11203	11.3.3	Identify/dedicate resources	Identify/Dedicate resources
airline	11057	12.4.5.2	Engage/Retain outside counsel if necessary	Engage/retain outside counsel if necessary
airline	11120	13.2.3.1.4	Create business case	Create business case and obtain funding
airline	11147	13.4.1.10	Assess cultural context	Assess cultural issues
airline	11157	13.4.2.7	Establish change adoption measures	Establish change adoption metrics
airline	11075	13.6.1.1	Define enterprise measurement models	Create enterprise measurement systems model
airline	11085	13.6.2.3	Conduct internal and external benchmarking	Conduct internal process and external competitive benchmarking
airline	20147	13.6.3	Evaluate performance	Evaluate process performance
airline	10270	13.6.3.1	Establish performance indicators (measures)	Establish appropriate performance indicators (metrics)
airline	10274	13.6.3.6	Analyze performance	Analyze performance against benchmark data
airline	10275	13.6.3.7	Prepare performance reports	Prepare reports
airline	11181	13.7.2	Develop EHS program	Develop and execute functional EHS program
airline	11195	13.7.4.5	Provide EHS support	Provide employees with EHS support
airline	20959	13.8	Develop, manage, and deliver analytics	Develop, Manage, and Deliver Analytics
airline	20963	13.8.4	Report on analysis	Report on data
automotive	10021	1.1.1.2	Analyze and evaluate competition	Analyze and Evaluate competition
automotive	10023	1.1.1.4	Identify political and regulatory factors	Identify political and regulatory issues
automotive	10024	1.1.1.5	Assess new technologies	Assess new technology innovations
automotive	10027	1.1.1.8	Identify environmental factors	Identify ecological concerns
automotive	16790	1.1.1.9	Evaluate intellectual property	Identify intellectual property concerns
automotive	10038	1.2.2	Define and evaluate strategic options to achieve the mission	Define and evaluate strategic options to achieve the objectives
automotive	19952	1.2.2.12	Develop innovation strategy	Develop innovation strategy and framework
automotive	10039	1.2.3	Set/Develop long-term enterprise strategy	Select long-term business strategy
automotive	10040	1.2.4	Coordinate and align cross-functional and process strategies	Coordinate and align functional and process strategies
automotive	10042	1.2.6	Develop and set organizational objectives	Develop and set organizational goals
automotive	19953	1.2.6.1	Identify organizational objectives	Identify organizational goals
automotive	19955	1.2.6.3	Monitor performance against objective	Monitor performance against goals
automotive	19958	1.2.7.3	Refine business unit strategies in support of organizational strategy	Refine business unit strategies in support of company strategy
automotive	10016	1.3	Develop and measure strategic initiatives	Execute and measure strategic initiatives
automotive	10114	3.1.1.1.1	Understand consumer needs and historical behaviors	Understand consumer needs and predict customer purchasing behavior
automotive	16573	3.2.4.1	Establish channel-specific measures and targets	Establish channel-specific metrics and targets
automotive	16500	3.2.4.4	Analyze channel performance	Analyze performance
automotive	16501	3.2.4.5	Develop plan for channel improvements	Develop plan for improvements
automotive	10148	3.3.1	Establish goals, objectives, and measures for products/services by channel/segment	Establish goals, objectives, and metrics for products/services by channel/segment
automotive	16629	3.3.7	Manage product marketing material	Manage product marketing content
automotive	10136	3.4.1.3	Generate sales forecast	Generate multi-year sales forecast
automotive	10130	3.4.2	Develop sales partner/alliance relationships	Develop sales partner/alliance (e.g. dealers) relationships
automotive	10200	3.5.4.8	Handle sales order inquiries including post-order fulfillment transactions	Handle order inquiries including post-order fulfillment transactions
automotive	10187	3.5.5	Manage sales partners and alliances	Manage sales partners and alliances (e.g. dealers)
automotive	10214	3.5.5.5	Evaluate partner/alliance results	Monitor and evaluate partner/alliance results
automotive	10294	4.4.4.3	Solicit supplier quotes	Solicit/Track vendor quotes
automotive	10300	4.4.6.2	Prepare/Analyze procurement and supplier performance	Prepare/Analyze procurement and vendor performance
automotive	12708	4.6.2.5	Determine quality of controlled part	Control quality of returned parts
automotive	20109	4.6.2.6	Manage disposition of returned products	Salvage or repair returned products
automotive	10353	4.6.3.1	Manage and track inventory deployment	Track inventory deployment
automotive	20089	6.7.2	Define warranty claims	Define warranty offering
automotive	20090	6.7.2.3	Agree on warranty responsibilities with suppliers	Agree warranty responsibilities with suppliers
automotive	20102	6.7.2.6	Manage pre-authorizations	Manage preauthorizations
automotive	17043	7.1	Develop and manage human resources planning, policies, and strategies	Develop and manage human resources (HR) planning, policies, and strategies
automotive	10423	7.1.2.1	Perform workforce planning	Gather skill requirements according to corporate strategy and market environment
automotive	10424	7.1.2.2	Perform operational workforce planning	Plan employee resourcing requirements per business unit/organization
automotive	10425	7.1.2.3	Develop compensation strategy	Develop compensation plan
automotive	10210	7.1.2.3.1	Establish incentive strategy	Establish incentive plan
automotive	10427	7.1.2.6	Develop diversity, equity, and inclusion plan	Develop employee diversity plan
automotive	11622	7.1.2.7	Design talent development program	Develop training program
automotive	11623	7.1.2.8	Design talent acquisition program	Develop recruitment program
automotive	20599	7.3	Manage employee onboarding, training, and development	Manage employee on-boarding, development, and training
automotive	10474	7.3.1.1	Create/maintain employee onboarding program	Create/maintain employee on-boarding program
automotive	11243	7.3.1.2	Evaluate the effectiveness of the employee onboarding program	Evaluate the effectiveness of the employee on-boarding program
automotive	17050	7.3.1.3	Execute onboarding program	Execute on-boarding program
automotive	10472	7.3.3	Manage employee career development	Manage employee development
automotive	16940	7.3.4.2	Define employee competencies and skills	Define employee competencies
automotive	10491	7.3.4.3	Align learning programs with competencies and skills	Align learning programs with competencies
automotive	10526	7.7.5	Develop and manage employee measures	Develop and manage employee metrics
automotive	20620	8.1.3.3	Determine IT performance indicators	Determine  IT performance indicators
automotive	20644	8.1.6.3	Understand IT customer environment	Understand  IT customer environment
automotive	20663	8.2.2.3	Evaluate proposed IT investment projects	Evaluate  proposed IT investment projects
automotive	20675	8.2.4.1	Establish IT service management strategy and goals	Establish  IT service management strategy and goals
automotive	20676	8.2.4.2	Identify IT service operating and process requirements	Identify  IT service operating and process requirements
automotive	20690	8.2.5.8	Report IT service and project performance	Report  IT service and project performance
automotive	20705	8.2.7.7	Develop and plan IT investment projects	Develop and plan  IT investment projects
automotive	20714	8.3.1.9	Evaluate IT-related risks resiliency	Evaluate  IT-related risks resiliency
automotive	20754	8.3.7.5	Provide IT resilience training	Provide  IT resilience training
automotive	20774	8.4.2.4	Establish data ownership and stewardship responsibilities	Establish  data ownership and stewardship responsibilities
automotive	20779	8.4.4	Manage business information	Manage business information content
automotive	10747	9.3.1	Manage financial policies and procedures	Manage policies and procedures
automotive	10957	10.1.1.3	Determine build, buy, or lease decision	Determine build or buy decision
automotive	19209	10.2.1	Manage capital program for assets	Manage capital program for productive assets
automotive	19238	10.3	Maintain assets	Maintain productive assets
automotive	11120	13.2.3.1.4	Create business case	Create business case and obtain funding
